Niter,Jacobi,Gauss-Seidel,Relaxation
138.000000,-0.029661,-0.043692,-0.042925
139.000000,-0.029780,-0.043873,-0.043102
140.000000,-0.029899,-0.044052,-0.043278
141.000000,-0.030017,-0.044232,-0.043454
142.000000,-0.030136,-0.044410,-0.043629
143.000000,-0.030253,-0.044589,-0.043804
144.000000,-0.030371,-0.044767,-0.043979
145.000000,-0.030488,-0.044944,-0.044153
146.000000,-0.030605,-0.045121,-0.044326
147.000000,-0.030721,-0.045297,-0.044499
148.000000,-0.030837,-0.045473,-0.044672
149.000000,-0.030953,-0.045649,-0.044844
150.000000,-0.031069,-0.045824,-0.045016
151.000000,-0.031184,-0.045999,-0.045187
152.000000,-0.031299,-0.046173,-0.045358
153.000000,-0.031413,-0.046347,-0.045528
154.000000,-0.031528,-0.046520,-0.045698
155.000000,-0.031641,-0.046693,-0.045868
156.000000,-0.031755,-0.046865,-0.046037
157.000000,-0.031868,-0.047037,-0.046206
158.000000,-0.031981,-0.047209,-0.046374
159.000000,-0.032094,-0.047380,-0.046542
160.000000,-0.032206,-0.047551,-0.046710
161.000000,-0.032319,-0.047722,-0.046877
162.000000,-0.032430,-0.047892,-0.047044
163.000000,-0.032542,-0.048061,-0.047210
164.000000,-0.032653,-0.048231,-0.047376
165.000000,-0.032764,-0.048400,-0.047542
166.000000,-0.032875,-0.048568,-0.047707
167.000000,-0.032985,-0.048736,-0.047872
168.000000,-0.033095,-0.048904,-0.048036
169.000000,-0.033205,-0.049071,-0.048200
170.000000,-0.033315,-0.049238,-0.048364
171.000000,-0.033424,-0.049405,-0.048527
172.000000,-0.033533,-0.049571,-0.048691
173.000000,-0.033642,-0.049737,-0.048853
174.000000,-0.033750,-0.049903,-0.049016
175.000000,-0.033859,-0.050068,-0.049178
176.000000,-0.033967,-0.050233,-0.049339
177.000000,-0.034075,-0.050398,-0.049501
178.000000,-0.034182,-0.050562,-0.049662
179.000000,-0.034289,-0.050726,-0.049822
180.000000,-0.034396,-0.050889,-0.049983
181.000000,-0.034503,-0.051052,-0.050143
182.000000,-0.034610,-0.051215,-0.050302
183.000000,-0.034716,-0.051378,-0.050462
184.000000,-0.034822,-0.051540,-0.050621
185.000000,-0.034928,-0.051702,-0.050779
186.000000,-0.035034,-0.051864,-0.050938
187.000000,-0.035139,-0.052025,-0.051096
